                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.619,                 5.9753,                 3.1627,                      0,                      0,                      0,                      0,                 4.0794,                  4.883,                 2.7571,             0.00025452,             0.00025452,             0.00025452
                      2,                  3.163,                 4.7441,                 2.1086,                      0,                      0,                      0,                      0,                 3.9358,                 4.9547,                 2.9488,             0.00051642,             0.00051642,             0.00051642
                      3,                 2.7183,                 3.8802,                 1.7216,                      0,                      0,                      0,                      0,                 4.0306,                 5.0507,                 2.9796,             0.00077658,             0.00077658,             0.00077658
                      4,                 2.4154,                  3.407,                 1.5666,                      0,                      0,                      0,                      0,                 4.1095,                 5.1766,                 2.9135,                 0.0009,                 0.0009,                 0.0009
                      5,                 2.2118,                 2.9723,                 1.4484,                0.78118,                0.06418,                0.13955,                0.06186,                 2.0519,                 3.1828,                 1.4838,                 0.0009,                 0.0009,                 0.0009
                      6,                  1.998,                 2.6641,                 1.3601,                0.85244,                0.22021,                0.36179,                0.15461,                  1.875,                 2.5876,                 1.3247,               0.000897,               0.000897,               0.000897
                      7,                 1.9173,                  2.435,                 1.3509,                0.46258,                0.40106,                0.41802,                 0.1855,                 1.8029,                 2.0842,                  1.328,               0.000894,               0.000894,               0.000894
                      8,                 1.8485,                  2.264,                 1.3163,                0.62854,                0.49091,                0.50134,                0.23349,                 1.8252,                 2.0154,                  1.349,               0.000891,               0.000891,               0.000891
                      9,                  1.813,                 2.0569,                  1.288,                0.76218,                0.36042,                0.50664,                0.27803,                 1.6233,                 1.9303,                 1.2197,               0.000888,               0.000888,               0.000888
                     10,                 1.6814,                  1.894,                 1.2467,                0.75359,                0.51765,                0.52221,                0.28231,                 1.5446,                 1.6163,                 1.1928,               0.000885,               0.000885,               0.000885
                     11,                 1.5705,                 1.7038,                 1.2248,                0.77936,                0.56182,                0.59254,                0.32465,                 1.4732,                 1.4981,                 1.1652,               0.000882,               0.000882,               0.000882
                     12,                 1.5216,                 1.6277,                 1.1859,                0.77491,                0.51691,                0.59346,                0.33331,                 1.3911,                 1.4125,                 1.1194,               0.000879,               0.000879,               0.000879
                     13,                 1.4561,                 1.5691,                 1.1457,                0.67226,                0.59916,                0.57329,                0.32304,                 1.2919,                 1.3633,                 1.0997,               0.000876,               0.000876,               0.000876
                     14,                 1.4204,                 1.5243,                 1.1298,                0.70385,                0.62239,                0.54914,                0.32789,                 1.4058,                 1.4817,                 1.1218,               0.000873,               0.000873,               0.000873
                     15,                 1.4118,                 1.4173,                 1.1375,                0.69843,                0.68809,                0.62545,                 0.3991,                 1.2496,                 1.2281,                  1.061,                0.00087,                0.00087,                0.00087
                     16,                 1.3546,                 1.3408,                 1.0982,                0.75578,                0.64581,                0.64167,                0.39721,                 1.2702,                 1.2873,                 1.1069,               0.000867,               0.000867,               0.000867
                     17,                 1.3164,                 1.3151,                 1.1011,                0.86006,                0.58105,                0.73411,                0.44034,                 1.2029,                 1.0217,                 1.0474,               0.000864,               0.000864,               0.000864
                     18,                 1.3171,                  1.275,                 1.0923,                0.86349,                0.55301,                0.70527,                0.42313,                 1.2645,                 1.0876,                 1.0372,               0.000861,               0.000861,               0.000861
                     19,                 1.3095,                 1.2382,                 1.0775,                0.69266,                0.70791,                0.69739,                0.44926,                 1.1903,                 1.1193,                 1.0219,             0.00085801,             0.00085801,             0.00085801
                     20,                 1.2945,                   1.24,                 1.0765,                0.83362,                0.56577,                0.72004,                0.44953,                 1.2463,                 1.1564,                 1.0762,             0.00085501,             0.00085501,             0.00085501
                     21,                  1.333,                 1.2196,                 1.0836,                0.83827,                0.59497,                0.73987,                0.47799,                 1.1721,                 1.0311,                 1.0052,             0.00085201,             0.00085201,             0.00085201
                     22,                 1.2264,                 1.1506,                 1.0484,                0.90156,                0.59506,                0.72049,                0.46207,                 1.1546,                 1.0248,                 1.0016,             0.00084901,             0.00084901,             0.00084901
                     23,                 1.2331,                 1.1551,                 1.0426,                 0.6883,                 0.7517,                0.71009,                0.43426,                 1.2241,                0.95475,                 1.0447,             0.00084601,             0.00084601,             0.00084601
                     24,                 1.2028,                  1.082,                 1.0383,                0.87068,                0.59047,                0.69931,                0.44246,                 1.1043,                0.94693,                0.99931,             0.00084301,             0.00084301,             0.00084301
                     25,                 1.2113,                 1.0932,                 1.0388,                0.68566,                0.81114,                0.70724,                0.44939,                 1.1565,                 1.0002,                 1.0104,             0.00084001,             0.00084001,             0.00084001
                     26,                 1.1902,                 1.0591,                 1.0482,                0.92698,                0.56182,                0.67936,                0.45546,                 1.0583,                0.86305,                0.98492,             0.00083701,             0.00083701,             0.00083701
                     27,                 1.1679,                 1.0269,                 1.0268,                0.91263,                0.61806,                0.77532,                0.51116,                 1.0463,                0.88362,                0.98237,             0.00083401,             0.00083401,             0.00083401
                     28,                 1.1614,                  1.014,                 1.0141,                0.92559,                 0.6013,                0.72458,                0.42719,                 1.2049,                0.86939,                 1.0285,             0.00083101,             0.00083101,             0.00083101
                     29,                 1.1631,                0.99946,                 1.0118,                0.81979,                0.68901,                0.74387,                 0.4835,                 1.1774,                0.86445,                  1.033,             0.00082801,             0.00082801,             0.00082801
                     30,                 1.1647,                0.99898,                 1.0196,                0.73395,                0.66685,                0.71434,                  0.484,                0.99895,                0.78485,                0.95922,             0.00082501,             0.00082501,             0.00082501
