               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020513,           0.0082973,           0.0013919,             0.97796,                 0.9,             0.90787,             0.75337,           0.0075584,           0.0038401,          0.00094134,            0.008845,            0.008845,            0.008845
                  37,            0.020843,            0.008484,           0.0016052,             0.97091,                 0.9,             0.94306,             0.78558,           0.0052743,           0.0035088,          0.00093657,            0.008812,            0.008812,            0.008812
                  38,            0.024524,           0.0090556,           0.0018139,             0.85799,             0.85662,             0.94665,             0.77797,           0.0079721,           0.0039016,            0.000925,            0.008779,            0.008779,            0.008779
                  39,            0.021035,           0.0084602,           0.0018278,             0.97399,                 0.9,                0.94,             0.76035,            0.007354,           0.0037873,           0.0010952,            0.008746,            0.008746,            0.008746
                  40,            0.020119,           0.0083487,           0.0015256,             0.87633,                 0.9,             0.94252,             0.78485,           0.0059501,           0.0040876,           0.0010123,            0.008713,            0.008713,            0.008713
                  41,            0.021856,            0.008298,           0.0029695,             0.88711,             0.99263,             0.95823,             0.69642,            0.007931,           0.0044108,          0.00093981,             0.00868,             0.00868,             0.00868
                  42,            0.018992,           0.0083156,           0.0016039,             0.96754,                 0.9,             0.97286,             0.85532,            0.004419,           0.0036373,          0.00092862,            0.008647,            0.008647,            0.008647
                  43,            0.020121,            0.008117,           0.0013711,             0.97518,                 0.9,             0.94703,             0.71315,           0.0086964,           0.0039758,          0.00091139,            0.008614,            0.008614,            0.008614
                  44,            0.022096,           0.0082864,           0.0021528,             0.87535,                 0.9,             0.92415,             0.69966,           0.0061871,           0.0036771,          0.00091941,            0.008581,            0.008581,            0.008581
                  45,            0.018826,           0.0076941,          0.00093917,             0.97196,                 0.9,             0.95297,             0.72266,           0.0073087,           0.0035296,          0.00091934,            0.008548,            0.008548,            0.008548
                  46,            0.020142,           0.0081321,           0.0015593,             0.97151,             0.99384,             0.99359,             0.81794,           0.0050446,           0.0031355,          0.00095399,            0.008515,            0.008515,            0.008515
                  47,            0.019708,           0.0080942,            0.001393,             0.97151,             0.99383,             0.99359,              0.7611,           0.0060944,           0.0033011,          0.00091674,            0.008482,            0.008482,            0.008482
