                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2087,                 5.6543,                 3.0075,                      0,                      0,                      0,                      0,                 5.3546,                   5.95,                 4.0528,             0.00035975,             0.00035975,             0.00035975
                      2,                 2.5137,                  4.179,                  2.115,                      0,                      0,                      0,                      0,                 5.1492,                 5.3134,                 4.1173,             0.00072768,             0.00072768,             0.00072768
                      3,                 2.1155,                 3.4595,                  1.785,                      0,                      0,                      0,                      0,                 4.6864,                 4.5378,                 3.9277,              0.0010932,              0.0010932,              0.0010932
                      4,                 1.6986,                 2.7309,                 1.5653,                0.88194,                0.06667,                 0.0978,                0.03461,                 2.1392,                 3.2405,                 2.2673,                 0.0011,                 0.0011,                 0.0011
                      5,                 1.4347,                 2.3691,                  1.388,                0.55063,                0.27692,                0.23456,                0.11693,                 1.6345,                 2.7213,                 1.7389,                 0.0011,                 0.0011,                 0.0011
                      6,                 1.2376,                 2.1441,                 1.2805,                0.60964,                0.31795,                 0.2787,                0.17519,                 1.3464,                 2.5991,                 1.5531,              0.0010963,              0.0010963,              0.0010963
                      7,                 1.0855,                 1.9433,                 1.1981,                 0.5848,                    0.4,                0.30262,                0.22022,                0.99896,                 2.3269,                 1.2828,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.0004,                 1.7934,                 1.1435,                0.59016,                0.53333,                0.29302,                0.20127,                 1.1566,                 1.9821,                 1.3633,               0.001089,               0.001089,               0.001089
                      9,                 0.9428,                 1.7282,                 1.1162,                0.59764,                0.46154,                0.31029,                0.23293,                0.91412,                 1.9084,                 1.1567,              0.0010853,              0.0010853,              0.0010853
                     10,                0.90766,                 1.6343,                 1.0742,                0.39863,                0.71798,                0.33756,                 0.2701,                 0.7207,                 1.5476,                 1.1001,              0.0010817,              0.0010817,              0.0010817
                     11,                 0.8129,                 1.4898,                 1.0228,                0.53816,                   0.66,                0.41318,                0.31835,                0.76374,                 1.6744,                 1.1197,               0.001078,               0.001078,               0.001078
                     12,                0.83411,                 1.4389,                  1.029,                0.51447,                0.56872,                0.38967,                0.32335,                0.73815,                  1.542,                 1.0816,              0.0010743,              0.0010743,              0.0010743
                     13,                 0.7807,                 1.4465,                 1.0021,                 0.5238,                0.64145,                0.39657,                 0.3023,                0.86457,                 1.4118,                 1.1556,              0.0010707,              0.0010707,              0.0010707
                     14,                0.75072,                 1.3472,                 0.9961,                0.54013,                0.61385,                0.50779,                0.40933,                0.77238,                 1.3864,                 1.0809,               0.001067,               0.001067,               0.001067
                     15,                0.74288,                 1.3793,                0.98693,                0.54292,                0.58552,                0.51917,                0.43004,                0.67028,                 1.2845,                 1.0315,              0.0010633,              0.0010633,              0.0010633
                     16,                0.72743,                 1.3152,                0.96837,                0.59651,                0.61547,                0.49854,                0.38663,                0.71521,                 1.4139,                 1.0046,              0.0010597,              0.0010597,              0.0010597
                     17,                0.78363,                 1.3313,                0.97828,                0.54913,                0.63385,                0.56829,                0.44995,                0.70562,                 1.3554,                 1.0869,               0.001056,               0.001056,               0.001056
                     18,                0.71183,                 1.2442,                0.97216,                0.62455,                0.58009,                0.47909,                0.38414,                0.65371,                 1.2673,                 1.0294,              0.0010523,              0.0010523,              0.0010523
                     19,                0.67792,                 1.2601,                0.95874,                 0.6136,                0.51077,                0.48959,                 0.4065,                0.57985,                 1.2117,                0.95614,              0.0010487,              0.0010487,              0.0010487
                     20,                0.68542,                 1.2125,                0.94793,                0.74441,                0.50615,                0.54561,                0.46535,                0.58007,                 1.1614,                0.97742,               0.001045,               0.001045,               0.001045
                     21,                0.67608,                 1.1826,                0.95138,                0.65568,                0.51077,                0.54473,                 0.4365,                0.68197,                 1.1731,                 1.0237,              0.0010413,              0.0010413,              0.0010413
                     22,                0.70589,                 1.2131,                0.95482,                0.68525,                0.48542,                0.42687,                0.35458,                0.58645,                 1.4429,                0.98141,              0.0010377,              0.0010377,              0.0010377
                     23,                0.66267,                 1.1847,                0.93292,                0.58489,                0.49507,                0.51526,                0.43711,                0.54253,                 1.2611,                0.96358,               0.001034,               0.001034,               0.001034
                     24,                0.65478,                 1.1062,                0.94158,                0.51453,                0.57026,                0.52492,                 0.4498,                0.57682,                 1.1946,                0.94717,              0.0010303,              0.0010303,              0.0010303
                     25,                 0.6114,                 1.0812,                0.92726,                0.64272,                0.59883,                0.56003,                0.46322,                0.58588,                 1.0802,                0.93939,              0.0010267,              0.0010267,              0.0010267
                     26,                0.65954,                  1.117,                0.93151,                0.69466,                0.61082,                0.52035,                0.44339,                0.57748,                 1.1923,                0.95373,               0.001023,               0.001023,               0.001023
