               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12334,            0.025191,            0.028136,                   0,                   0,                   0,                   0,             0.12706,            0.022999,            0.029858,               0.091,               0.001,               0.001
                   1,             0.11963,            0.024617,            0.027051,           0.0003655,            0.083333,          0.00078751,          0.00023625,             0.11291,             0.02059,            0.024426,            0.081093,           0.0020931,           0.0020931
                   2,             0.10897,            0.022212,            0.024433,                   0,                   0,                   0,                   0,             0.10672,            0.018423,            0.019775,            0.071179,           0.0031789,           0.0031789
                   3,             0.10482,            0.019996,            0.021994,           0.0014215,             0.33333,            0.011512,           0.0012406,             0.10336,            0.015694,             0.01637,            0.061257,           0.0042574,           0.0042574
                   4,             0.10042,            0.019447,            0.016694,           0.0017018,             0.41667,            0.034259,            0.006535,             0.10052,            0.013468,            0.012483,            0.051329,           0.0053287,           0.0053287
                   5,            0.096822,            0.017297,            0.012588,           0.0015051,             0.41667,           0.0078836,           0.0015176,            0.097503,            0.012941,            0.010608,            0.041393,           0.0063927,           0.0063927
                   6,            0.094915,            0.016127,            0.012446,           0.0017775,             0.54167,            0.014714,           0.0053466,             0.08521,            0.012688,           0.0087646,             0.03145,           0.0074495,           0.0074495
                   7,            0.086543,            0.013512,           0.0085464,           0.0018026,             0.54167,           0.0045213,           0.0008284,            0.096894,            0.010658,           0.0074463,            0.021499,            0.008499,            0.008499
                   8,            0.086636,            0.014908,           0.0086562,           0.0020604,               0.625,            0.011121,           0.0024797,            0.099356,           0.0099869,           0.0052498,            0.011541,           0.0095413,           0.0095413
                   9,            0.095718,            0.013979,           0.0073296,           0.0021348,               0.625,            0.040479,            0.013793,            0.096986,             0.00947,           0.0046036,            0.009703,            0.009703,            0.009703
                  10,             0.09123,            0.013325,            0.006754,           0.0025296,                0.75,             0.10171,            0.033503,            0.088302,            0.010174,           0.0039238,            0.009703,            0.009703,            0.009703
                  11,            0.086316,            0.012803,           0.0062159,           0.0030438,             0.91667,           0.0041628,           0.0011879,             0.10427,           0.0076113,           0.0037109,             0.00967,             0.00967,             0.00967
                  12,            0.095081,            0.010112,           0.0062949,           0.0026736,             0.79167,            0.010466,           0.0019095,            0.094653,           0.0087223,           0.0033245,            0.009637,            0.009637,            0.009637
                  13,            0.089894,            0.011155,           0.0062935,           0.0030507,             0.91667,             0.30523,            0.053142,            0.089696,            0.009491,           0.0034927,            0.009604,            0.009604,            0.009604
                  14,             0.08175,            0.013593,             0.00649,           0.0026491,             0.79167,             0.30237,             0.12804,            0.076081,            0.010933,           0.0054527,            0.009571,            0.009571,            0.009571
                  15,            0.074385,            0.014294,           0.0068237,           0.0031163,             0.91667,             0.27518,            0.056415,            0.082747,            0.010164,           0.0041481,            0.009538,            0.009538,            0.009538
