               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10574,             0.02514,            0.044759,          6.0976e-05,            0.026786,          3.9386e-05,          3.9386e-06,            0.097164,             0.01622,            0.041841,            0.070484,           0.0032796,           0.0032796
                   1,            0.094471,            0.024443,            0.041941,          0.00011518,            0.050595,          0.00010717,           1.287e-05,            0.088876,            0.015846,            0.041001,            0.040462,           0.0065911,           0.0065911
                   2,            0.085969,            0.023572,            0.040162,                   0,                   0,                   0,                   0,             0.14025,            0.006366,             0.12095,            0.010418,           0.0098806,           0.0098806
                   3,            0.081818,            0.023652,            0.037901,          1.9116e-05,           0.0029762,          9.6959e-06,           4.848e-06,             0.14094,           0.0048727,            0.074413,            0.009901,            0.009901,            0.009901
                   4,            0.074272,            0.021997,            0.035205,           0.0011251,             0.30838,           0.0037853,          0.00089367,            0.076398,             0.01209,            0.039014,            0.009901,            0.009901,            0.009901
                   5,            0.069256,            0.021516,            0.032677,          0.00082074,             0.19139,           0.0013737,          0.00036943,            0.090967,           0.0083331,            0.042986,            0.009868,            0.009868,            0.009868
                   6,            0.062713,            0.022699,            0.031624,            0.002598,             0.68315,            0.064772,            0.023505,            0.052453,            0.012719,            0.028772,            0.009835,            0.009835,            0.009835
                   7,            0.058832,            0.021675,            0.029827,           0.0032246,             0.94872,             0.17544,            0.059892,            0.039715,            0.012973,            0.027271,            0.009802,            0.009802,            0.009802
                   8,            0.057403,            0.020541,            0.030274,           0.0029831,             0.72917,             0.18677,            0.054367,            0.048918,             0.01121,            0.027747,            0.009769,            0.009769,            0.009769
                   9,            0.055321,             0.01965,            0.029862,             0.37199,             0.58082,             0.22662,            0.073787,            0.044675,            0.010811,            0.027132,            0.009736,            0.009736,            0.009736
                  10,            0.052931,             0.01861,             0.02963,             0.86491,             0.24702,             0.29037,             0.17397,            0.039287,            0.010313,            0.026953,            0.009703,            0.009703,            0.009703
                  11,            0.051388,            0.017387,             0.02985,             0.87078,             0.24702,             0.28349,             0.13353,             0.03559,            0.009239,            0.026785,             0.00967,             0.00967,             0.00967
                  12,            0.049486,            0.017928,            0.030251,             0.87999,                0.25,              0.2928,             0.14376,            0.034948,           0.0094105,            0.027126,            0.009637,            0.009637,            0.009637
                  13,            0.048069,            0.015253,            0.028762,             0.91545,             0.23214,             0.31328,                0.18,            0.033286,           0.0079997,            0.026401,            0.009604,            0.009604,            0.009604
