               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077172,             0.02298,            0.042745,             0.54882,             0.23421,             0.15946,            0.034683,            0.026455,           0.0084201,            0.020935,            0.070133,           0.0033185,           0.0033185
                   1,            0.043856,            0.016146,             0.03823,             0.21962,             0.75487,             0.33955,             0.15397,            0.018974,           0.0043773,            0.020478,            0.040111,           0.0066299,           0.0066299
                   2,            0.039194,            0.012134,            0.036408,             0.13926,             0.97619,             0.27861,             0.17091,            0.019923,           0.0031279,            0.019536,            0.010067,           0.0099193,           0.0099193
                   3,            0.034976,           0.0096509,            0.034557,              0.5458,              0.6493,             0.66304,             0.46465,            0.014364,           0.0032001,            0.015532,            0.009901,            0.009901,            0.009901
                   4,            0.032089,           0.0082829,            0.028262,             0.56574,             0.74936,             0.75869,               0.581,            0.011066,           0.0028236,            0.011915,            0.009901,            0.009901,            0.009901
                   5,            0.029264,           0.0074385,            0.024532,             0.69456,             0.75007,             0.82333,             0.59551,             0.01077,           0.0026268,            0.010973,            0.009868,            0.009868,            0.009868
                   6,            0.027288,           0.0070718,             0.02224,             0.67109,              0.8888,             0.88998,             0.69715,           0.0097794,           0.0026435,           0.0092435,            0.009835,            0.009835,            0.009835
                   7,            0.026624,           0.0071409,            0.021345,             0.65147,             0.84203,             0.86736,             0.67557,            0.010054,           0.0027806,           0.0079053,            0.009802,            0.009802,            0.009802
                   8,            0.026111,           0.0066664,            0.018744,             0.83594,             0.93908,             0.94839,             0.71883,            0.011837,           0.0024615,           0.0053208,            0.009769,            0.009769,            0.009769
                   9,            0.025397,           0.0063847,            0.017347,             0.92509,             0.91842,             0.95506,             0.74576,            0.009653,           0.0023589,           0.0051351,            0.009736,            0.009736,            0.009736
                  10,            0.024382,           0.0064836,            0.017277,             0.80688,             0.92594,             0.92422,             0.75906,           0.0090419,           0.0023999,           0.0048737,            0.009703,            0.009703,            0.009703
                  11,            0.023652,           0.0058587,            0.016549,             0.89582,             0.92674,             0.95289,             0.75395,           0.0090351,            0.002671,           0.0049728,             0.00967,             0.00967,             0.00967
                  12,            0.023604,           0.0060764,            0.014104,             0.90702,             0.85259,             0.92378,             0.73192,            0.010018,           0.0024384,           0.0040343,            0.009637,            0.009637,            0.009637
                  13,            0.023842,           0.0060478,            0.014341,             0.94054,             0.89214,             0.95611,             0.77125,           0.0096927,           0.0025685,           0.0063859,            0.009604,            0.009604,            0.009604
                  14,            0.022689,           0.0057957,            0.014272,             0.95585,              0.9115,             0.95515,             0.72868,           0.0089132,            0.002357,           0.0033254,            0.009571,            0.009571,            0.009571
                  15,            0.022288,           0.0059667,            0.013829,             0.90677,             0.96994,             0.96607,             0.77369,            0.009131,           0.0025648,           0.0031415,            0.009538,            0.009538,            0.009538
                  16,            0.022607,           0.0060143,             0.01363,             0.94185,             0.92397,             0.96354,             0.80132,           0.0079379,           0.0022633,           0.0031263,            0.009505,            0.009505,            0.009505
                  17,            0.021866,           0.0058251,            0.012115,             0.93045,             0.91577,              0.9499,              0.8051,           0.0085021,           0.0023262,           0.0039439,            0.009472,            0.009472,            0.009472
                  18,            0.021788,           0.0058018,             0.01339,              0.9313,             0.91649,              0.9599,             0.79084,           0.0090589,           0.0022334,           0.0030408,            0.009439,            0.009439,            0.009439
                  19,            0.021261,           0.0057013,            0.011859,             0.94675,              0.9463,             0.97364,             0.83592,           0.0075512,            0.002248,           0.0028169,            0.009406,            0.009406,            0.009406
                  20,            0.020949,           0.0055453,            0.011286,             0.93218,             0.90085,              0.9671,               0.817,           0.0082778,           0.0022965,           0.0034497,            0.009373,            0.009373,            0.009373
                  21,            0.020882,           0.0056115,            0.010604,             0.94263,             0.92687,             0.96651,             0.79224,           0.0086266,           0.0023972,           0.0024332,             0.00934,             0.00934,             0.00934
                  22,            0.020208,           0.0054717,            0.011191,             0.92047,             0.94594,              0.9663,              0.8188,            0.007687,           0.0021773,           0.0034716,            0.009307,            0.009307,            0.009307
                  23,             0.01982,           0.0055572,            0.010948,             0.95271,             0.94667,             0.97729,             0.83953,           0.0071448,           0.0022196,           0.0026931,            0.009274,            0.009274,            0.009274
                  24,            0.019782,           0.0052851,            0.010345,             0.91949,             0.96726,                0.97,             0.82347,           0.0078851,           0.0020873,           0.0030961,            0.009241,            0.009241,            0.009241
                  25,            0.019839,           0.0051957,            0.010084,             0.93781,             0.96006,             0.98015,             0.83384,           0.0071378,           0.0021956,           0.0025097,            0.009208,            0.009208,            0.009208
                  26,            0.019259,           0.0051959,           0.0088286,             0.94854,             0.98326,             0.98254,             0.83488,           0.0073148,           0.0021389,           0.0027951,            0.009175,            0.009175,            0.009175
                  27,            0.018738,           0.0051165,           0.0096931,             0.94562,             0.98239,             0.98298,             0.83131,           0.0073352,           0.0020733,           0.0022581,            0.009142,            0.009142,            0.009142
                  28,            0.018522,           0.0051446,           0.0093761,             0.94299,             0.96479,             0.98017,             0.84174,           0.0067666,           0.0020414,            0.002599,            0.009109,            0.009109,            0.009109
