                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5949,                 1.0301,                0.98612,                0.56082,                0.69734,                0.42499,                0.37125,                0.62241,                0.96483,                0.91347,              0.0011139,              0.0011139,              0.0011139
                     36,                 0.5696,                 1.0275,                0.96662,                0.55568,                0.55287,                0.52365,                0.46167,                0.52852,                  1.085,                0.91104,              0.0011098,              0.0011098,              0.0011098
                     37,                0.55824,                0.96404,                0.95531,                0.57912,                0.61241,                0.49655,                0.44596,                0.47535,                0.78018,                  0.867,              0.0011056,              0.0011056,              0.0011056
                     38,                 0.5511,                0.97648,                 0.9698,                 0.6191,                0.72453,                0.49471,                0.43397,                0.48465,                 0.9115,                0.88598,              0.0011015,              0.0011015,              0.0011015
                     39,                0.55853,                0.99072,                 0.9727,                 0.5583,                0.72125,                0.44248,                0.39542,                0.47218,                0.90803,                0.86704,              0.0010974,              0.0010974,              0.0010974
                     40,                0.56229,                 0.9604,                0.97716,                0.60821,                0.54625,                0.45968,                0.40197,                0.52832,                0.81834,                  0.875,              0.0010933,              0.0010933,              0.0010933
                     41,                0.57214,                0.93758,                0.96135,                0.57936,                0.61538,                0.46529,                0.42044,                0.50376,                0.78048,                0.87737,              0.0010891,              0.0010891,              0.0010891
                     42,                0.57404,                0.96149,                0.98522,                0.62622,                0.61401,                 0.4787,                0.41582,                0.51372,                0.82577,                0.89881,               0.001085,               0.001085,               0.001085
                     43,                0.55545,                0.93599,                0.96712,                0.61399,                0.59158,                0.50284,                0.45364,                0.45468,                0.73868,                0.84928,              0.0010809,              0.0010809,              0.0010809
                     44,                0.56564,                0.90828,                0.96499,                0.71108,                0.52908,                0.53304,                0.48406,                0.42013,                0.71296,                0.83335,              0.0010768,              0.0010768,              0.0010768
                     45,                0.54071,                0.88608,                0.95042,                0.65084,                0.66186,                0.52172,                0.46748,                0.46673,                0.84372,                0.84831,              0.0010726,              0.0010726,              0.0010726
                     46,                0.55672,                0.90096,                0.96108,                0.62151,                0.59158,                0.53474,                0.47898,                0.46938,                0.72793,                0.87069,              0.0010685,              0.0010685,              0.0010685
                     47,                0.53965,                0.90174,                0.95581,                0.59853,                0.57074,                0.53199,                 0.4584,                  0.576,                0.78991,                0.91031,              0.0010644,              0.0010644,              0.0010644
                     48,                0.54109,                0.91769,                0.95283,                0.67126,                0.64446,                0.54315,                0.50495,                0.41285,                 0.6443,                0.83563,              0.0010603,              0.0010603,              0.0010603
                     49,                0.55205,                0.86118,                0.96245,                0.64428,                0.57202,                0.54039,                0.48838,                0.44947,                0.70141,                0.85253,              0.0010561,              0.0010561,              0.0010561
                     50,                 0.5319,                0.85827,                0.96269,                0.69631,                0.64859,                0.53282,                0.48092,                0.51302,                 0.7779,                0.87732,               0.001052,               0.001052,               0.001052
                     51,                0.54852,                0.87112,                0.94431,                0.63635,                0.66129,                0.51301,                0.45204,                0.50013,                0.84064,                0.87379,              0.0010479,              0.0010479,              0.0010479
                     52,                0.54939,                   0.86,                0.96263,                0.63739,                0.62202,                0.55668,                0.51691,                0.41128,                0.66526,                0.83152,              0.0010438,              0.0010438,              0.0010438
                     53,                0.53819,                 0.8352,                0.95115,                0.69739,                0.59158,                0.55944,                0.51018,                0.43713,                0.62127,                0.83327,              0.0010396,              0.0010396,              0.0010396
                     54,                0.51696,                0.80336,                0.93077,                0.70403,                 0.6015,                0.55224,                0.50899,                 0.4351,                0.66452,                0.84597,              0.0010355,              0.0010355,              0.0010355
                     55,                0.50595,                0.83339,                0.93005,                0.69503,                0.61323,                0.55931,                0.50964,                 0.4581,                0.78147,                0.86176,              0.0010314,              0.0010314,              0.0010314
                     56,                0.52659,                0.83027,                0.95488,                0.72577,                 0.6332,                0.54007,                0.49783,                0.40975,                0.68598,                0.83561,              0.0010273,              0.0010273,              0.0010273
                     57,                0.50244,                0.78546,                0.93935,                0.70042,                0.58575,                0.53608,                0.50296,                0.38365,                0.63265,                 0.8274,              0.0010231,              0.0010231,              0.0010231
                     58,                0.50472,                0.77193,                0.93645,                0.70944,                0.65408,                0.56283,                0.51997,                0.40591,                0.61616,                0.83903,               0.001019,               0.001019,               0.001019
                     59,                0.51048,                0.79335,                0.93198,                0.72984,                 0.5903,                0.57914,                0.53095,                0.40196,                0.65169,                0.84015,              0.0010149,              0.0010149,              0.0010149
                     60,                0.49346,                0.78819,                0.93893,                0.62338,                0.56479,                0.56047,                0.52719,                0.41951,                0.88124,                0.84489,              0.0010107,              0.0010107,              0.0010107
                     61,                0.49909,                0.77364,                0.92655,                0.76944,                 0.6265,                0.55865,                0.52224,                0.38444,                 0.6065,                0.81788,              0.0010066,              0.0010066,              0.0010066
                     62,                0.50766,                0.80064,                0.92466,                0.69991,                0.66734,                0.54767,                0.50435,                0.43432,                0.76884,                0.82573,              0.0010025,              0.0010025,              0.0010025
                     63,                0.49627,                0.80844,                0.92744,                0.69719,                 0.5727,                0.53956,                0.51115,                0.37461,                0.70439,                0.81789,             0.00099837,             0.00099837,             0.00099837
                     64,                0.50891,                0.80598,                0.94548,                0.69976,                0.61905,                0.60492,                0.54756,                0.46301,                0.61308,                0.86437,             0.00099425,             0.00099425,             0.00099425
