               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076417,            0.023141,            0.044334,             0.14955,             0.75517,             0.31352,            0.082612,             0.02076,            0.007786,            0.021707,            0.070133,           0.0033185,           0.0033185
                   1,            0.044178,            0.015869,            0.040423,             0.22908,                   1,             0.31645,             0.23933,            0.015046,           0.0040572,            0.021612,            0.040111,           0.0066299,           0.0066299
                   2,            0.038773,             0.01179,            0.039844,             0.22024,                   1,             0.34374,              0.2459,            0.014653,           0.0032443,            0.021727,            0.010067,           0.0099193,           0.0099193
                   3,            0.034722,           0.0095112,            0.039318,             0.37224,             0.75175,             0.48475,             0.27863,            0.018148,           0.0029682,            0.018741,            0.009901,            0.009901,            0.009901
                   4,            0.031891,            0.008107,            0.034474,             0.43141,             0.99342,             0.53941,             0.40113,            0.013275,           0.0027987,            0.017244,            0.009901,            0.009901,            0.009901
                   5,            0.027717,           0.0075372,            0.033274,             0.37555,             0.95032,             0.57915,             0.41905,            0.010909,           0.0025899,            0.015596,            0.009868,            0.009868,            0.009868
                   6,            0.026149,           0.0069715,            0.030647,             0.46861,             0.96061,             0.66614,              0.5357,           0.0088988,           0.0026272,            0.014481,            0.009835,            0.009835,            0.009835
                   7,            0.026778,           0.0072185,             0.02804,             0.61758,             0.93586,             0.81589,             0.59878,             0.01012,           0.0025891,            0.011154,            0.009802,            0.009802,            0.009802
                   8,            0.025476,           0.0065864,            0.024502,             0.55143,             0.85602,             0.75147,             0.61515,           0.0082754,           0.0023966,             0.01468,            0.009769,            0.009769,            0.009769
                   9,            0.025217,           0.0065498,            0.022925,               0.655,             0.78416,             0.82638,             0.67449,           0.0084131,             0.00237,            0.015695,            0.009736,            0.009736,            0.009736
                  10,            0.024303,             0.00636,            0.023322,             0.79084,             0.82772,             0.87349,             0.63288,            0.010147,            0.002329,            0.011553,            0.009703,            0.009703,            0.009703
                  11,            0.023529,           0.0060101,             0.02074,             0.90657,             0.85331,             0.91529,             0.73609,           0.0087924,           0.0023675,           0.0065474,             0.00967,             0.00967,             0.00967
                  12,            0.022968,           0.0059887,            0.018938,             0.88761,             0.84208,             0.93149,             0.73884,           0.0090069,           0.0023994,            0.007373,            0.009637,            0.009637,            0.009637
                  13,            0.022175,             0.00587,            0.018857,             0.88602,             0.85009,             0.91281,             0.75502,           0.0082427,           0.0022985,           0.0073081,            0.009604,            0.009604,            0.009604
                  14,            0.023121,           0.0056871,            0.017241,             0.86965,              0.8966,             0.94002,             0.78601,           0.0078874,           0.0021948,           0.0056742,            0.009571,            0.009571,            0.009571
                  15,             0.02152,           0.0058027,            0.017811,             0.86138,             0.85274,             0.91914,             0.78086,           0.0075238,           0.0027389,           0.0076124,            0.009538,            0.009538,            0.009538
                  16,            0.022038,           0.0057795,            0.017147,             0.86485,             0.91953,             0.94754,             0.77636,           0.0075789,           0.0023973,           0.0058396,            0.009505,            0.009505,            0.009505
                  17,            0.021573,           0.0057957,            0.017244,             0.90634,             0.83838,             0.94594,             0.74978,           0.0087797,            0.002526,           0.0048788,            0.009472,            0.009472,            0.009472
                  18,            0.021436,           0.0057822,            0.015215,             0.85522,             0.91669,             0.95781,             0.76509,           0.0094525,           0.0023433,           0.0053387,            0.009439,            0.009439,            0.009439
                  19,              0.0217,           0.0057428,            0.015446,             0.84538,             0.93498,             0.95753,             0.82704,           0.0077317,           0.0022526,           0.0055663,            0.009406,            0.009406,            0.009406
                  20,            0.020559,           0.0054401,            0.015096,             0.88037,             0.95887,             0.96405,             0.82843,           0.0070871,           0.0020964,           0.0038772,            0.009373,            0.009373,            0.009373
