               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08734,            0.030808,            0.021457,           0.0030396,             0.94737,           0.0041203,          0.00092049,            0.035304,            0.018559,           0.0096222,              0.0793,              0.0023,              0.0023
                   1,            0.076049,            0.032208,            0.020985,            0.077005,            0.052632,            0.036992,            0.011017,            0.026264,            0.020357,            0.010272,            0.057684,           0.0046845,           0.0046845
                   2,            0.055355,            0.029654,            0.015547,             0.58502,             0.28947,             0.18682,            0.052834,            0.027618,            0.017731,           0.0058716,            0.036053,           0.0070531,           0.0070531
                   3,            0.050488,            0.023666,            0.011021,             0.68284,             0.33392,             0.22678,            0.048204,            0.043425,            0.014711,           0.0041512,            0.014406,           0.0094059,           0.0094059
                   4,            0.065349,            0.019542,            0.015966,             0.74101,             0.42105,             0.30232,            0.078896,            0.034349,           0.0090467,           0.0036156,            0.009868,            0.009868,            0.009868
                   5,            0.057932,            0.019854,            0.011431,             0.90232,             0.43385,             0.45053,             0.12818,            0.032816,             0.00769,           0.0023548,            0.009868,            0.009868,            0.009868
                   6,            0.053542,            0.021167,            0.012732,             0.97372,             0.44737,             0.47123,             0.12059,            0.037549,           0.0069869,           0.0023781,            0.009835,            0.009835,            0.009835
                   7,            0.048555,            0.020436,            0.011276,             0.86747,             0.43805,             0.38637,             0.17346,             0.02539,            0.011752,           0.0042618,            0.009802,            0.009802,            0.009802
                   8,            0.043289,            0.020371,            0.010078,             0.93311,             0.44737,             0.48473,             0.13549,            0.021848,            0.017579,           0.0046097,            0.009769,            0.009769,            0.009769
                   9,            0.042835,            0.019779,           0.0089373,             0.90215,             0.34211,              0.4568,              0.2328,             0.01871,            0.012369,           0.0047775,            0.009736,            0.009736,            0.009736
                  10,            0.043459,            0.018435,           0.0082514,             0.92229,             0.31579,             0.37791,              0.1024,            0.026816,            0.010282,           0.0065048,            0.009703,            0.009703,            0.009703
                  11,            0.044289,            0.017143,             0.00673,             0.89337,             0.39474,             0.46624,             0.13514,            0.025189,           0.0091442,           0.0044739,             0.00967,             0.00967,             0.00967
                  12,            0.041389,            0.017322,           0.0064153,             0.92041,              0.4172,             0.57708,             0.19182,            0.020347,            0.008525,           0.0033241,            0.009637,            0.009637,            0.009637
                  13,            0.040763,            0.015583,           0.0057811,             0.69244,                 0.5,             0.53304,                0.14,            0.022759,           0.0074017,           0.0030731,            0.009604,            0.009604,            0.009604
                  14,            0.038489,             0.01583,           0.0077114,             0.40373,                   1,             0.73607,              0.4511,            0.014742,           0.0083918,           0.0034073,            0.009571,            0.009571,            0.009571
                  15,            0.035706,            0.015874,           0.0052045,             0.63571,                   1,             0.74387,             0.51094,            0.008455,           0.0078591,           0.0023766,            0.009538,            0.009538,            0.009538
                  16,            0.037911,            0.015832,           0.0049617,             0.97039,             0.47368,             0.80571,             0.27749,            0.021809,           0.0081275,          0.00098457,            0.009505,            0.009505,            0.009505
                  17,            0.037053,            0.014477,           0.0039744,             0.63749,                   1,               0.995,             0.51128,           0.0096601,           0.0084992,           0.0011967,            0.009472,            0.009472,            0.009472
                  18,            0.031803,            0.012741,           0.0032406,             0.91495,                   1,               0.995,             0.59185,            0.011409,            0.006611,           0.0012531,            0.009439,            0.009439,            0.009439
                  19,            0.035839,             0.01432,            0.004138,             0.96336,                   1,               0.995,             0.58347,            0.014923,           0.0063813,           0.0008522,            0.009406,            0.009406,            0.009406
                  20,            0.035585,            0.014312,           0.0040984,             0.72299,                   1,             0.86288,             0.54418,            0.013151,           0.0062068,          0.00075855,            0.009373,            0.009373,            0.009373
                  21,            0.030554,            0.012448,            0.002083,             0.75476,                   1,               0.995,             0.59238,            0.010478,           0.0070789,          0.00074444,             0.00934,             0.00934,             0.00934
                  22,             0.02728,            0.013379,           0.0041206,             0.77846,                   1,             0.98239,             0.60476,            0.011087,           0.0058169,          0.00074883,            0.009307,            0.009307,            0.009307
                  23,            0.033699,            0.012274,           0.0023937,             0.96685,             0.97641,               0.995,             0.52125,            0.012156,           0.0064172,           0.0011589,            0.009274,            0.009274,            0.009274
                  24,            0.027516,            0.012905,           0.0030904,             0.89382,             0.96172,               0.995,             0.45243,            0.012598,           0.0064482,           0.0022675,            0.009241,            0.009241,            0.009241
                  25,            0.031713,             0.01203,            0.002061,             0.71896,             0.99174,             0.91167,             0.52963,           0.0090042,           0.0062437,           0.0023651,            0.009208,            0.009208,            0.009208
                  26,            0.034584,            0.011679,           0.0024169,             0.97667,                   1,               0.995,             0.58612,           0.0095347,           0.0062725,           0.0013615,            0.009175,            0.009175,            0.009175
                  27,            0.030645,            0.012456,           0.0025268,             0.93855,                   1,               0.995,             0.63879,           0.0098726,           0.0056441,           0.0010433,            0.009142,            0.009142,            0.009142
                  28,            0.028497,            0.011527,           0.0028536,             0.97295,                   1,               0.995,             0.73412,           0.0067758,           0.0051123,            0.001041,            0.009109,            0.009109,            0.009109
                  29,            0.025237,            0.011053,           0.0018639,             0.73678,                   1,              0.9352,             0.54381,            0.011547,           0.0053765,          0.00091743,            0.009076,            0.009076,            0.009076
                  30,            0.026612,            0.010498,           0.0019973,             0.97842,                   1,               0.995,             0.52106,            0.012885,           0.0047746,          0.00083599,            0.009043,            0.009043,            0.009043
                  31,            0.031108,            0.010288,           0.0018131,             0.74939,                   1,             0.87533,              0.5692,            0.011076,           0.0047908,          0.00074177,             0.00901,             0.00901,             0.00901
                  32,              0.0291,            0.010092,           0.0020824,             0.98548,             0.99066,               0.995,             0.67015,           0.0088798,           0.0046674,          0.00067158,            0.008977,            0.008977,            0.008977
