               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10238,            0.024266,            0.044927,           0.0017945,             0.47812,            0.018418,           0.0039602,            0.078786,             0.01516,            0.043387,            0.070526,           0.0032749,           0.0032749
                   1,            0.073024,            0.020894,            0.040141,           0.0045734,             0.96875,            0.062491,            0.024367,            0.075345,            0.011313,            0.042159,            0.040505,           0.0065864,           0.0065864
                   2,            0.065094,            0.018121,            0.038556,           0.0043133,               0.975,             0.13788,            0.024937,            0.050881,            0.012363,            0.041376,            0.010461,           0.0098759,           0.0098759
                   3,            0.059743,            0.017467,            0.039155,           0.0045487,                   1,             0.36991,             0.15553,            0.041823,             0.01259,            0.040378,            0.009901,            0.009901,            0.009901
                   4,            0.050177,            0.016193,            0.037917,            0.004244,                   1,             0.40581,             0.24998,            0.044418,            0.010844,            0.039455,            0.009901,            0.009901,            0.009901
                   5,            0.045006,            0.016185,            0.037358,             0.18431,             0.94375,              0.4396,             0.22659,            0.031981,            0.010619,            0.038542,            0.009868,            0.009868,            0.009868
                   6,             0.04038,            0.013551,            0.036772,             0.37181,             0.21724,             0.32504,             0.16748,            0.033545,           0.0098298,             0.03877,            0.009835,            0.009835,            0.009835
                   7,            0.039049,            0.012425,            0.036317,             0.38217,               0.425,             0.42147,             0.17883,            0.038752,            0.007839,            0.038269,            0.009802,            0.009802,            0.009802
                   8,            0.036072,            0.012477,            0.036256,             0.16266,             0.65779,             0.43616,             0.29494,            0.031891,           0.0071476,            0.036449,            0.009769,            0.009769,            0.009769
                   9,            0.035556,             0.01091,            0.034891,              0.2094,             0.68125,             0.44715,             0.26874,            0.030927,           0.0065904,            0.034904,            0.009736,            0.009736,            0.009736
                  10,            0.034428,           0.0092124,            0.034831,             0.19874,             0.69367,              0.4391,             0.29025,            0.027642,           0.0065558,             0.03296,            0.009703,            0.009703,            0.009703
                  11,            0.032903,           0.0091856,            0.032247,             0.60445,             0.44062,             0.52419,             0.33422,            0.026136,           0.0075403,            0.032072,             0.00967,             0.00967,             0.00967
                  12,            0.032534,           0.0088422,            0.031225,             0.56166,             0.48287,             0.53508,             0.32942,            0.029483,           0.0057472,            0.028786,            0.009637,            0.009637,            0.009637
                  13,            0.032277,            0.007957,            0.028084,             0.76593,              0.5125,             0.73669,             0.46616,            0.026013,           0.0054736,            0.026198,            0.009604,            0.009604,            0.009604
                  14,            0.031096,           0.0078479,            0.025694,             0.91166,             0.60625,             0.80077,             0.55692,            0.026874,           0.0046482,            0.024378,            0.009571,            0.009571,            0.009571
                  15,            0.030618,            0.006969,             0.02489,               0.921,             0.62742,              0.9367,              0.5391,            0.031755,           0.0044781,            0.022049,            0.009538,            0.009538,            0.009538
                  16,            0.030359,           0.0072526,            0.024847,             0.90009,             0.64349,             0.94423,             0.54721,            0.029222,           0.0044187,            0.020149,            0.009505,            0.009505,            0.009505
                  17,            0.030922,           0.0069513,            0.023145,             0.91211,             0.71338,             0.97639,             0.67941,            0.023557,           0.0042367,            0.018212,            0.009472,            0.009472,            0.009472
                  18,            0.030001,           0.0063462,            0.020499,             0.83186,              0.8967,             0.97672,               0.647,            0.026998,           0.0040886,            0.015039,            0.009439,            0.009439,            0.009439
                  19,            0.029704,           0.0065362,            0.017841,             0.74629,             0.96321,             0.95841,             0.57804,            0.025194,           0.0037928,            0.013859,            0.009406,            0.009406,            0.009406
                  20,            0.030421,           0.0064128,            0.015121,              0.8715,              0.9314,             0.97497,             0.63472,            0.025083,           0.0039372,            0.011864,            0.009373,            0.009373,            0.009373
                  21,            0.028336,           0.0062385,            0.017424,             0.88598,             0.93218,             0.97771,             0.71279,            0.021989,           0.0040016,            0.012445,             0.00934,             0.00934,             0.00934
                  22,            0.027731,            0.006066,            0.014548,             0.96674,             0.94234,             0.97547,             0.56046,            0.023931,           0.0037614,            0.011485,            0.009307,            0.009307,            0.009307
                  23,            0.028459,           0.0057453,            0.013952,             0.91846,             0.79245,             0.93318,             0.58553,            0.026106,           0.0037264,            0.014251,            0.009274,            0.009274,            0.009274
                  24,            0.027489,            0.005479,            0.013073,             0.96443,             0.88998,             0.97014,             0.66057,            0.026985,           0.0035459,           0.0096998,            0.009241,            0.009241,            0.009241
                  25,            0.027156,           0.0057471,            0.012413,              0.9451,             0.87216,             0.95569,             0.64538,            0.020497,           0.0037175,             0.01034,            0.009208,            0.009208,            0.009208
                  26,             0.02862,           0.0057163,            0.012348,              0.9019,             0.93493,               0.964,             0.63083,            0.024113,           0.0035442,           0.0094299,            0.009175,            0.009175,            0.009175
                  27,            0.026633,           0.0059179,            0.012352,             0.93526,             0.97205,             0.96851,             0.67697,            0.018213,           0.0036244,           0.0069419,            0.009142,            0.009142,            0.009142
                  28,            0.025969,           0.0056507,            0.011264,             0.79294,               0.975,             0.94482,             0.62732,            0.021814,           0.0032881,           0.0086006,            0.009109,            0.009109,            0.009109
                  29,            0.026695,           0.0057044,            0.011718,             0.90897,             0.90424,             0.98023,             0.59252,            0.026807,           0.0033538,           0.0073967,            0.009076,            0.009076,            0.009076
                  30,            0.027226,           0.0055478,            0.012817,             0.93394,             0.95937,             0.95503,             0.71626,            0.022853,           0.0035018,           0.0065142,            0.009043,            0.009043,            0.009043
                  31,            0.025209,           0.0052201,            0.010654,             0.91997,             0.92761,             0.96866,             0.72285,            0.021043,           0.0035429,           0.0061978,             0.00901,             0.00901,             0.00901
                  32,            0.025008,           0.0051129,           0.0087708,             0.83656,             0.90652,             0.96017,              0.7209,            0.022506,           0.0036182,            0.011056,            0.008977,            0.008977,            0.008977
                  33,            0.025892,           0.0054762,            0.010757,             0.90219,              0.9474,             0.96059,             0.67372,            0.021816,           0.0034112,           0.0073895,            0.008944,            0.008944,            0.008944
                  34,            0.026087,           0.0052813,           0.0084682,             0.95516,             0.95937,             0.97131,             0.68553,            0.020732,            0.003471,           0.0050556,            0.008911,            0.008911,            0.008911
                  35,            0.025807,           0.0053602,           0.0092025,             0.95669,             0.95469,              0.9736,             0.65521,            0.023952,           0.0034537,           0.0060855,            0.008878,            0.008878,            0.008878
                  36,             0.02556,           0.0053038,            0.010207,             0.91868,               0.975,             0.97016,             0.74635,            0.019264,           0.0033613,           0.0053515,            0.008845,            0.008845,            0.008845
                  37,            0.025058,           0.0049928,           0.0089684,             0.90853,                0.95,             0.96883,             0.73341,            0.016465,           0.0035073,           0.0047896,            0.008812,            0.008812,            0.008812
                  38,            0.024465,            0.005265,            0.010637,             0.88833,             0.90905,             0.96384,              0.6995,            0.019007,           0.0034547,           0.0087827,            0.008779,            0.008779,            0.008779
                  39,            0.023531,           0.0050512,           0.0091299,             0.94222,              0.9169,             0.97867,             0.78928,            0.016434,           0.0032164,           0.0060537,            0.008746,            0.008746,            0.008746
                  40,            0.022918,           0.0047484,           0.0098044,             0.89673,             0.93421,             0.97628,             0.70403,            0.020356,           0.0031288,           0.0052842,            0.008713,            0.008713,            0.008713
                  41,            0.024419,           0.0050387,           0.0087828,             0.95881,             0.93394,             0.97498,             0.70395,            0.019498,           0.0030758,           0.0044671,             0.00868,             0.00868,             0.00868
                  42,            0.025823,           0.0050249,           0.0089848,             0.93773,             0.96088,              0.9791,             0.81524,            0.018231,           0.0032156,             0.00431,            0.008647,            0.008647,            0.008647
                  43,            0.023945,           0.0049752,           0.0096954,             0.94741,             0.93596,             0.98118,             0.73616,            0.020476,           0.0033132,           0.0050257,            0.008614,            0.008614,            0.008614
                  44,            0.023763,           0.0046541,            0.010602,             0.86306,             0.95997,             0.94291,             0.72042,            0.016516,           0.0034375,           0.0048347,            0.008581,            0.008581,            0.008581
                  45,            0.023002,           0.0046931,           0.0086916,             0.86974,             0.95937,             0.90077,             0.72004,             0.01525,           0.0031822,           0.0043438,            0.008548,            0.008548,            0.008548
                  46,            0.022823,            0.004802,           0.0085877,             0.91264,             0.95937,             0.97139,             0.77469,            0.021191,           0.0030882,            0.004407,            0.008515,            0.008515,            0.008515
                  47,            0.022747,           0.0047806,           0.0087983,             0.90014,             0.95619,             0.97563,             0.74263,            0.015909,           0.0031334,           0.0046651,            0.008482,            0.008482,            0.008482
                  48,            0.022962,            0.004794,           0.0087763,              0.9552,             0.95937,             0.97953,             0.69494,            0.018608,           0.0031133,           0.0046165,            0.008449,            0.008449,            0.008449
                  49,            0.022582,           0.0047956,           0.0088392,             0.94265,             0.96144,             0.98042,             0.66797,            0.019661,           0.0031766,           0.0045379,            0.008416,            0.008416,            0.008416
                  50,            0.023413,           0.0046912,           0.0080233,             0.90461,             0.93386,             0.96101,             0.69054,            0.017024,           0.0029764,           0.0053653,            0.008383,            0.008383,            0.008383
                  51,            0.022859,           0.0045772,           0.0084479,             0.93747,             0.95937,             0.98089,             0.80711,            0.014487,           0.0027812,           0.0039137,             0.00835,             0.00835,             0.00835
                  52,            0.022141,           0.0047059,           0.0094936,             0.93997,              0.9522,             0.95229,             0.75581,            0.017143,           0.0029202,           0.0066935,            0.008317,            0.008317,            0.008317
                  53,            0.021322,            0.004503,           0.0081772,             0.95272,               0.975,             0.98589,             0.79673,             0.01738,           0.0027379,           0.0038405,            0.008284,            0.008284,            0.008284
                  54,             0.02227,           0.0046175,           0.0077865,             0.95949,             0.94073,             0.98469,             0.75153,            0.017026,           0.0030022,           0.0038425,            0.008251,            0.008251,            0.008251
                  55,            0.021252,           0.0045099,           0.0072666,             0.93009,             0.95937,             0.96265,             0.77319,            0.019958,           0.0029184,           0.0039257,            0.008218,            0.008218,            0.008218
                  56,            0.021302,           0.0045962,           0.0067297,             0.94248,             0.95937,             0.98291,             0.79264,            0.016989,           0.0028251,            0.003527,            0.008185,            0.008185,            0.008185
                  57,             0.02202,           0.0045505,           0.0058432,             0.95715,              0.9612,             0.99006,             0.81093,            0.015443,           0.0028779,           0.0038181,            0.008152,            0.008152,            0.008152
