                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5175,                 6.3644,                 3.9492,                      0,                      0,                      0,                      0,                 5.6334,                 6.5596,                 4.0652,               0.000375,               0.000375,               0.000375
                      2,                 2.5694,                 4.3934,                 2.4008,                      0,                      0,                      0,                      0,                 5.0174,                 5.8509,                 4.1582,             0.00075998,             0.00075998,             0.00075998
                      3,                 2.1662,                 3.5757,                 2.0902,                      0,                      0,                      0,                      0,                 4.3864,                 4.6299,                 3.6449,              0.0011424,              0.0011424,              0.0011424
                      4,                 1.8614,                 3.0682,                 1.9407,                0.37521,                0.16071,                0.13019,                0.06815,                 1.8424,                 3.2067,                 1.9052,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.5826,                 2.6597,                 1.7573,                0.46589,                0.49542,                0.27304,                0.15313,                 1.4678,                 4.3349,                 1.6932,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.4734,                 2.4889,                 1.6702,                0.42559,                0.39985,                0.28818,                0.17598,                 1.4275,                 2.1113,                 1.5194,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.3024,                 2.3184,                 1.5121,                0.48175,                0.58196,                0.27666,                0.18297,                 1.2287,                 1.9046,                 1.4358,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.2171,                  2.058,                 1.4406,                0.46145,                0.62523,                0.32332,                0.18656,                 1.4333,                 2.9502,                 1.4705,              0.0012252,              0.0012252,              0.0012252
                      9,                  1.114,                 1.9482,                 1.3472,                0.48983,                0.58356,                0.30952,                0.23349,                 1.0232,                 1.7631,                 1.2873,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.0442,                  1.846,                 1.2887,                0.46841,                0.61983,                0.29281,                0.22405,                 1.0165,                 1.5404,                 1.3405,               0.001217,               0.001217,               0.001217
                     11,                 0.9774,                 1.7215,                 1.2635,                 0.5133,                0.57395,                 0.2986,                0.24715,                0.72955,                 1.6108,                 1.0799,              0.0012129,              0.0012129,              0.0012129
                     12,                0.98545,                  1.647,                 1.2422,                0.47304,                0.60279,                0.30022,                0.22229,                 1.0103,                   1.45,                 1.1677,              0.0012087,              0.0012087,              0.0012087
                     13,                0.95302,                 1.5881,                 1.2162,                0.48042,                0.57234,                0.29892,                0.23707,                0.92587,                 1.3754,                 1.2368,              0.0012046,              0.0012046,              0.0012046
                     14,                0.89663,                 1.5368,                 1.1956,                0.48133,                0.52427,                0.33427,                0.28845,                0.60372,                 1.2298,                0.96759,              0.0012005,              0.0012005,              0.0012005
                     15,                0.89114,                 1.4966,                 1.1773,                 0.4974,                0.58196,                0.35182,                0.29938,                0.67523,                 1.3569,                 1.0253,              0.0011964,              0.0011964,              0.0011964
                     16,                0.83662,                 1.4449,                 1.1556,                0.53814,                0.54419,                0.41299,                0.34861,                0.74523,                 1.1736,                 1.1104,              0.0011922,              0.0011922,              0.0011922
                     17,                 0.8673,                 1.4351,                 1.1429,                0.45606,                0.54999,                0.32642,                   0.28,                0.64163,                 1.2255,                0.99164,              0.0011881,              0.0011881,              0.0011881
                     18,                0.83001,                 1.3366,                 1.1378,                0.51169,                 0.5435,                0.34403,                0.28082,                0.71672,                 1.1421,                 1.0425,               0.001184,               0.001184,               0.001184
                     19,                0.78643,                 1.3747,                 1.1068,                0.49871,                0.50023,                0.32573,                0.28741,                0.58452,                 1.1287,                0.97631,              0.0011799,              0.0011799,              0.0011799
                     20,                0.79709,                 1.3198,                 1.1179,                0.49232,                0.57532,                0.33362,                0.28627,                0.62028,                 1.2667,                0.95253,              0.0011757,              0.0011757,              0.0011757
                     21,                0.80702,                  1.287,                 1.0966,                0.49485,                0.38024,                0.33156,                0.28476,                0.65243,                 1.4142,                0.97863,              0.0011716,              0.0011716,              0.0011716
                     22,                0.76207,                 1.2318,                 1.1035,                0.63597,                0.55091,                0.49689,                 0.4256,                0.57781,                 1.3512,                0.94853,              0.0011675,              0.0011675,              0.0011675
                     23,                0.77975,                 1.2352,                 1.0996,                0.55434,                0.56113,                0.45146,                0.38969,                0.65416,                  1.125,                0.96778,              0.0011634,              0.0011634,              0.0011634
                     24,                0.75718,                 1.2022,                 1.0902,                0.57322,                0.51654,                0.40028,                0.34665,                0.58684,                 1.0769,                0.92956,              0.0011593,              0.0011593,              0.0011593
                     25,                0.72905,                 1.1811,                 1.0701,                0.57704,                0.54991,                0.42106,                0.37416,                0.59608,                0.94911,                0.97731,              0.0011551,              0.0011551,              0.0011551
                     26,                0.75856,                 1.1668,                 1.0582,                0.73525,                0.45655,                0.43335,                0.37169,                0.59823,                 0.9547,                0.93451,               0.001151,               0.001151,               0.001151
                     27,                 0.7394,                 1.1075,                 1.0632,                0.90363,                0.39835,                 0.5065,                0.44299,                0.64123,                0.99492,                0.98533,              0.0011469,              0.0011469,              0.0011469
                     28,                 0.7427,                 1.0727,                 1.0583,                0.90888,                 0.4444,                0.49015,                0.40901,                0.60337,                 1.0413,                0.93563,              0.0011428,              0.0011428,              0.0011428
                     29,                0.73862,                 1.0751,                 1.0696,                0.58793,                0.54647,                0.44766,                0.37675,                0.66439,                 1.1692,                 0.9547,              0.0011386,              0.0011386,              0.0011386
                     30,                0.75291,                 1.1073,                 1.0692,                0.59024,                0.58348,                0.48745,                0.42134,                0.63658,                0.93201,                0.93406,              0.0011345,              0.0011345,              0.0011345
                     31,                0.70704,                 1.1143,                 1.0434,                0.52792,                0.60119,                0.50414,                0.44601,                0.56633,                 1.0441,                0.91432,              0.0011304,              0.0011304,              0.0011304
                     32,                0.71343,                  1.089,                 1.0419,                0.93572,                0.46477,                0.53568,                0.47372,                0.52253,                0.84869,                0.89157,              0.0011263,              0.0011263,              0.0011263
                     33,                0.70787,                 1.0432,                 1.0493,                0.67506,                0.60071,                0.50951,                0.44899,                0.52783,                0.83272,                0.90832,              0.0011221,              0.0011221,              0.0011221
                     34,                0.71694,                 1.0747,                 1.0509,                0.89799,                0.46119,                 0.5132,                0.45268,                0.55272,                0.80664,                0.92286,               0.001118,               0.001118,               0.001118
                     35,                0.70899,                 1.0426,                 1.0431,                0.74518,                0.61241,                 0.5784,                0.50441,                0.57503,                0.76808,                0.93626,              0.0011139,              0.0011139,              0.0011139
                     36,                0.67046,                 1.0005,                 1.0221,                0.61653,                0.52152,                0.51412,                0.46146,                0.51231,                0.98402,                0.88971,              0.0011098,              0.0011098,              0.0011098
